Recipe,Ingredients,Steps
Chicken Stir Fry,"['Chicken Breast', 'Broccoli', 'Carrot', 'Soy Sauce', 'Olive Oil', 'White Rice']","Cook chicken, saute vegetables, add sauce, serve over rice."
Veggie Omelette,"['Eggs', 'Spinach', 'Onion', 'Tomato', 'Cheddar Cheese']","Beat eggs, cook with veggies, add cheese, fold and serve."
Spaghetti Marinara,"['Pasta', 'Tomato Sauce', 'Onion', 'Garlic', 'Parmesan Cheese', 'Olive Oil']","Cook pasta, simmer sauce with onion/garlic, mix, and top with cheese."
Salmon with Quinoa Salad,"['Salmon', 'Quinoa', 'Spinach', 'Tomato', 'Olive Oil']","Cook salmon, prepare quinoa, toss with veggies and olive oil, serve together."
Tofu Veggie Bowl,"['Tofu', 'Brown Rice', 'Broccoli', 'Carrot', 'Soy Sauce']","Stir-fry tofu with veggies, add sauce, serve over rice."
Shrimp Tacos,"['Shrimp', 'Tortilla', 'Lettuce', 'Onion', 'Tomato', 'Cheddar Cheese']","Cook shrimp, assemble tacos with toppings, serve warm."
Greek Yogurt Parfait,"['Greek Yogurt', 'Frozen Berries', 'Granola Bar', 'Honey']","Layer yogurt, berries, granola, and honey in a cup."
Beef and Potato Stew,"['Ground Beef', 'Potato', 'Onion', 'Carrot', 'Tomato Sauce', 'Garlic']","Brown beef, add veggies and sauce, simmer until tender."
Turkey Sandwich,"['Turkey Breast', 'Whole Wheat Bread', 'Lettuce', 'Tomato', 'Cheddar Cheese']","Assemble bread with turkey, veggies, and cheese."
Protein Smoothie,"['Milk', 'Banana', 'Peanuts', 'Frozen Berries']",Blend all ingredients until smooth.
